DATE|ALL|STANDARD|DATABASE|POLICY|COLLECTION|ALL_ADDED|STANDARD_ADDED|DATABASE_ADDED|POLICY_ADDED|COLLECTION_ADDED
2014,11|1185|529|632|18|6|1185|529|632|18|6
2014,12|1|0|1|0|0|1186|529|633|18|6
2015,01|7|5|2|0|0|1193|534|635|18|6
2015,02|10|6|4|0|0|1203|540|639|18|6
2015,03|7|1|6|0|0|1210|541|645|18|6
2015,04|13|4|8|1|0|1223|545|653|19|6
2015,05|7|3|4|0|0|1230|548|657|19|6
2015,06|12|7|5|0|0|1242|555|662|19|6
2015,07|13|5|6|2|0|1255|560|668|21|6
2015,08|11|10|1|0|0|1266|570|669|21|6
2015,09|7|5|2|0|0|1273|575|671|21|6
2015,10|11|3|8|0|0|1284|578|679|21|6
2015,11|17|3|14|0|0|1301|581|693|21|6
2015,12|22|6|15|0|1|1323|587|708|21|7
2016,01|9|4|4|1|0|1332|591|712|22|7
2016,02|5|2|1|1|1|1337|593|713|23|8
2016,03|12|4|7|0|1|1349|597|720|23|9
2016,04|45|14|24|4|3|1394|611|744|27|12
2016,05|18|12|6|0|0|1412|623|750|27|12
2016,06|50|2|3|43|2|1462|625|753|70|14
2016,07|4|0|3|0|1|1466|625|756|70|15
2016,08|22|1|18|0|3|1488|626|774|70|18
2016,09|15|4|10|1|0|1503|630|784|71|18
2016,10|27|6|20|0|1|1530|636|804|71|19
2016,11|21|5|11|4|1|1551|641|815|75|20
2016,12|6|2|3|1|0|1557|643|818|76|20
2017,01|17|1|9|7|0|1574|644|827|83|20
2017,02|4|1|1|1|1|1578|645|828|84|21
2017,03|36|7|26|2|1|1614|652|854|86|22
2017,04|43|1|42|0|0|1657|653|896|86|22
2017,05|8|1|7|0|0|1665|654|903|86|22
2017,06|13|0|12|0|1|1678|654|915|86|23
2017,07|34|15|19|0|0|1712|669|934|86|23
2017,08|25|2|23|0|0|1737|671|957|86|23
2017,09|6|2|3|1|0|1743|673|960|87|23
2017,10|259|243|14|1|1|2002|916|974|88|24
2017,11|21|4|15|2|0|2023|920|989|90|24
2017,12|5|1|2|1|1|2028|921|991|91|25
2018,01|50|33|7|10|0|2078|954|998|101|25
